GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime
Shot Chart Detail,22200221,658,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,36,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,10,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200221,668,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,1,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20221117,POR,BKN,1970,,,,
Shot Chart Detail,22200238,80,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,87,141,1,1,20221119,POR,UTA,1970,,,,
Shot Chart Detail,22200238,342,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,10,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,75,265,1,1,20221119,POR,UTA,1970,,,,
Shot Chart Detail,22200351,14,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,58,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,8,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200351,37,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,8,41,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200351,105,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,5,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-156,267,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200351,240,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,7,43,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-183,170,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200351,404,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,5,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,32,-174,271,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200351,557,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,6,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-140,276,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200351,615,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,2,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-199,15,1,1,20221204,POR,IND,1970,,,,
Shot Chart Detail,22200376,105,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,3,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-18,259,1,1,20221208,POR,DEN,1970,,,,
Shot Chart Detail,22200376,254,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,6,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-88,239,1,1,20221208,POR,DEN,1970,,,,
Shot Chart Detail,22200376,357,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,9,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-9,179,1,1,20221208,POR,DEN,1970,,,,
Shot Chart Detail,22200376,360,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,9,22,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,210,146,1,1,20221208,POR,DEN,1970,,,,
Shot Chart Detail,22200376,363,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,48,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-53,256,1,1,20221208,POR,DEN,1970,,,,
Shot Chart Detail,22200376,420,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,4,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,148,253,1,1,20221208,POR,DEN,1970,,,,
Shot Chart Detail,22200376,454,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,2,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,157,225,1,1,20221208,POR,DEN,1970,,,,
